File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services\ServiceServices.xpt,619,514,150,33,91,0,14,34,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services\ServiceServicesAlt.xpt,513,427,103,27,67,0,19,81,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services\WebConfig.xpt,77,68,0,0,9,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services\WebConfigEntityInterfaceEntry.xpt,14,11,0,0,3,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services\WebConfigInterfaceEntry.xpt,21,16,0,0,5,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services\WebConfigStaticFooter.xpt,4,4,0,0,0,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\myproject\modules\services\WebConfigStaticHeader.xpt,174,163,0,0,11,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\sql\CreateEntityFrameworkModel.xpt,155,134,29,0,19,1,2,6,0,0
D:\LocMetrics\generator.project\src\tpl\sql\DialogLesen.xpt,912,796,0,31,105,0,11,19,0,0
D:\LocMetrics\generator.project\src\tpl\sql\FillRechte.xpt,1016,796,0,62,220,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\sql\FindDataLayerEntitiesUsedByServiceLayer.xpt,47,43,0,0,4,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\sql\FindWeakEntities.xpt,17,15,0,4,2,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\sql\Fulltextsearch.xpt,106,92,0,0,14,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\sql\Model.xpt,789,680,4,16,104,0,5,29,0,0
D:\LocMetrics\generator.project\src\tpl\sql\Package.xpt,173,149,0,0,24,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\sql\StoredProcedures.xpt,4182,3802,0,100,376,0,4,36,0,0
D:\LocMetrics\generator.project\src\tpl\sql\Table.xpt,536,495,1,0,41,0,0,0,0,0
D:\LocMetrics\generator.project\src\tpl\sql\Trigger.xpt,155,132,1,1,23,0,0,0,0,0
D:\LocMetrics\generator.project\src\workflow\MyProject.oaw,63,55,0,0,8,0,0,0,0,0
D:\LocMetrics\generator.project\src\workflow\utils\Utils.java,233,154,110,20,28,0,51,234,0,0
